   20 Massalia           E. Bowell        6.50  0.25 0.81 145.5 S       0   0   0   0   0   0 52296 1043 20000605  99.842220 255.605925 206.601512  0.705831 0.14245962   2.40955121 20000118 4.9E-02 -5.2E-05 20000417 4.3E-02 20010729 6.3E-02 20070130 6.3E-02 20070130
   21 Lutetia            E. Bowell        7.35  0.11 0.70  95.8 M       0   0   0   0   0   0 48666  722 20000605 354.714448 250.147260  80.947101  3.066094 0.16163555   2.43543318 19990827 3.1E-02  1.1E-04 20000417 7.6E-02 20001006 7.6E-02 20001006 7.6E-02 20001006
   22 Kalliope           E. Bowell        6.45  0.21 0.69 181.0 M       0   0   0   0   0   0 52549  991 20000605 264.944187 357.347191  66.325192 13.723533 0.10152370   2.90794914 19990827 2.8E-02  1.1E-04 20000417 4.9E-02 20000823 5.2E-02 20050826 5.1E-02 20050826
   23 Thalia             E. Bowell        6.95  0.15 0.85 107.5 S       0   0   0   0   0   0 48778  653 20000605 179.311638  59.397335  67.265071 10.149785 0.23347391   2.62668945 19990908 3.1E-02  1.3E-04 20000417 4.7E-02 20000801 7.3E-02 20070225 7.3E-02 20070225
   24 Themis             E. Bowell        7.08  0.19 0.68               0   0   0   0   0   0 53506  701 20000605 206.579407 109.041527  36.064930  0.761671 0.13433974   3.12610948 20000129 3.2E-02  4.7E-05 20000417 6.0E-02 20001009 8.0E-02 20011230 8.0E-02 20011230
   25 Phocaea            E. Bowell        7.83  0.15 0.94  75.1 S       0   0   0   0   0   0 49639 1034 20000605 143.339982  90.339501 214.306552 21.578643 0.25645982   2.39927967 20000326 2.5E-02 -5.8E-05 20000417 4.3E-02 20010217 7.2E-02 20020701 7.2E-02 20020701
   26 Proserpina         E. Bowell        7.5   0.15 0.88  95.1 S       0   0   0   0   0   0 50748  211 20000605 333.983178 193.756893  45.953125  3.561984 0.08840301   2.65610615 20000122 1.6E-01 -2.8E-04 20000417 1.4E-01 20010818 1.9E-01 20090529 1.9E-01 20090529
   27 Euterpe            E. Bowell        7.0   0.15 0.87               0   0   0   0   0   9 53228 1172 20000605 243.483541 356.705416  94.813495  1.583804 0.17196345   2.34638345 19990908 2.2E-02  6.0E-05 20000417 4.3E-02 20000906 6.3E-02 20090206 6.3E-02 20090206
   28 Bellona            E. Bowell        7.09  0.15 0.85 120.9 S       0   0   0   0   0  10 49886  806 20000605 245.574475 342.752378 144.601795  9.398635 0.15006543   2.77674815 19991120 2.4E-02  3.6E-05 20000417 5.4E-02 20001031 6.4E-02 20051214 6.4E-02 20051214
   29 Amphitrite         E. Bowell        5.85  0.20 0.83 212.2 S       0   0   0   0   0  10 52824 1105 20000605  60.158076  61.984308 356.563121  6.102801 0.07205580   2.55389740 20000326 2.4E-02 -9.2E-05 20000417 4.6E-02 20010408 5.1E-02 20071116 5.1E-02 20071116
   30 Urania             E. Bowell        7.57  0.15 0.87  99.7 S       0   0   0   0   0   0 50927  735 20000605 320.451501  86.612569 307.980287  2.097351 0.12695353   2.36520373 19990908 2.8E-02  5.2E-05 20000417 7.8E-02 20001028 7.8E-02 20001028 7.7E-02 20001028
   31 Euphrosyne         E. Bowell        6.74  0.15 0.67 255.9         0   0   0   0   0   0 49906  586 20000605 310.955459  62.190053  31.294858 26.341887 0.22785202   3.14825862 19990827 3.4E-02 -2.1E-05 20000417 6.0E-02 20001030 7.6E-02 20061212 7.6E-02 20061213
   32 Pomona             E. Bowell        7.56  0.15 0.86  80.8 S       0   0   0   0   0   9 49664  256 20000605 199.125332 338.378337 220.633466  5.532702 0.08278371   2.58876146 20000118 6.1E-02 -7.6E-06 20000417 1.3E-01 20001205 1.7E-01 20020408 1.7E-01 20020408
